restaurant_name,coupon_type,coupon_code,description,items_with_offers_price
The Cherry Tree Bakery & Cafe,Brand Pack,,Extra 10% OFF on next 3 orders | Buy The Cherry Tree Bakery & Cafe Brand Pack to unlock,
The Cherry Tree Bakery & Cafe,Restaurant coupons,HUNGRY50,20% OFF up to ₹50 | Use code HUNGRY50 | above ₹149,
The Cherry Tree Bakery & Cafe,Restaurant coupons,,Free Delivery above ₹1000 | Valid on all orders,
Mr. Brown Bakery,Brand Pack,,Extra 10% OFF on next 3 orders | Buy Mr. Brown Bakery Brand Pack to unlock,
Mr. Brown Bakery,Restaurant coupons,,Buy 1 Get 1 Free | on select items | See items on offer,"Veg. Cheese Burger is a veg dish of ₹143.81'
 '(Alfredo) White Sauce Pasta is a veg dish of ₹399.05'
 'Danbro Special Exotica Neapolitan Pizza (7) is a veg dish of ₹306.67"
Mr. Brown Bakery,Restaurant coupons,SLASH50,Flat ₹50 OFF above ₹199 | Use code SLASH50,
Mr. Brown Bakery,Restaurant coupons,ZOM150,Flat ₹150 OFF above ₹999 | Use code ZOM150,
Mr. Brown Bakery,Restaurant coupons,,Free Delivery above ₹1000 | Valid on all orders,
Mr. Brown Bakery,Brand Pack,,Extra 10% OFF on next 3 orders | Buy Mr. Brown Bakery Brand Pack to unlock,
Mr. Brown Bakery,Restaurant coupons,,Buy 1 Get 1 Free | on select items | See items on offer,
Mr. Brown Bakery,Restaurant coupons,SLASH50,Flat ₹50 OFF above ₹199 | Use code SLASH50,
Mr. Brown Bakery,Restaurant coupons,ZOM150,Flat ₹150 OFF above ₹999 | Use code ZOM150,
Mr. Brown Bakery,Restaurant coupons,,Free Delivery above ₹1000 | Valid on all orders,
Pizza King,Brand Pack,,Extra 10% OFF on next 3 orders | Buy Pizza King Brand Pack to unlock,
Pizza King,Restaurant coupons,,Items @ ₹99 only | No code required | See items on offer,
Pizza King,Restaurant coupons,DISCOUNTDEAL,60% OFF up to ₹110 + ₹25 cashback | Use code DISCOUNTDEAL | above ₹159,
Pizza King,Restaurant coupons,ZOM175,Flat ₹175 OFF above ₹799 | Use code ZOM175,
Pizza King,Restaurant coupons,,Free Delivery above ₹1000 | Valid on all orders,
Pizza King,Restaurant coupons,ZOM200,Flat ₹200 OFF above ₹949 | Use code ZOM200,
Ritzz Mithai Vatika,Brand Pack,,Extra 10% OFF on next 3 orders | Buy Ritzz Mithai Vatika Brand Pack to unlock,
Ritzz Mithai Vatika,Restaurant coupons,CRAVE10,Flat 10% OFF above ₹499 | Use code CRAVE10,
Ritzz Mithai Vatika,Restaurant coupons,HUNGRY50,20% OFF up to ₹50 | Use code HUNGRY50 | above ₹159,
Ritzz Mithai Vatika,Restaurant coupons,,Free Delivery above ₹1000 | Valid on all orders,
Classic Radhey Sweets,Brand Pack,,Extra 10% OFF on next 5 orders | Buy Classic Radhey Sweets Brand Pack to unlock,
Classic Radhey Sweets,Restaurant coupons,ZOM175,Flat ₹175 OFF above ₹449 | Use code ZOM175,
Classic Radhey Sweets,Restaurant coupons,GETFLAT150,Flat ₹150 OFF above ₹399 | Use code GETFLAT150,
Classic Radhey Sweets,Restaurant coupons,,Free Delivery above ₹1000 | Valid on all orders,
Classic Radhey Sweets,Restaurant coupons,ZOMBITE,60% OFF up to ₹120 | Use code ZOMBITE | above ₹199,
Classic Radhey Sweets,Restaurant coupons,ZOM200,Flat ₹200 OFF above ₹949 | Use code ZOM200,
Wendy's Burgers,Brand Pack,,Extra 10% OFF on next 5 orders | Buy Wendy's Burgers Brand Pack to unlock,
Wendy's Burgers,Restaurant coupons,TASTYLOVE,40% OFF up to ₹80 | Use code TASTYLOVE | above ₹199,
Wendy's Burgers,Restaurant coupons,WELCOME125,Flat ₹125 OFF above ₹449 | Use code WELCOME125,
Wendy's Burgers,Restaurant coupons,,Free Delivery above ₹1000 | Valid on all orders,
Wendy's Burgers,Restaurant coupons,,Buy 8 Get 6 Free | on select items | See items on offer,"Fireboltt Tandoori Chicken Burger is a non-veg dish of ₹249'
 'Lord Cheesynator Veg Burger is a veg dish of ₹249'
 'Fireboltt Tandoori Paneer Burger is a veg dish of ₹239'
 'Lord Cheesynator Chicken Burger is a non-veg dish of ₹279"
Wendy's Burgers,Brand Pack,,Extra 10% OFF on next 5 orders | Buy Wendy's Burgers Brand Pack to unlock,
Wendy's Burgers,Restaurant coupons,TASTYLOVE,40% OFF up to ₹80 | Use code TASTYLOVE | above ₹199,
Wendy's Burgers,Restaurant coupons,WELCOME125,Flat ₹125 OFF above ₹449 | Use code WELCOME125,
Wendy's Burgers,Restaurant coupons,,Free Delivery above ₹1000 | Valid on all orders,
Wendy's Burgers,Restaurant coupons,,Buy 8 Get 6 Free | on select items | See items on offer,
Classic Restaurant - Treat,Brand Pack,,Extra 10% OFF on next 3 orders | Buy Classic Restaurant - Treat Brand Pack to unlock,
Classic Restaurant - Treat,Restaurant coupons,,FLAT 15% OFF | No code required | See items on offer,
Classic Restaurant - Treat,Restaurant coupons,GET125,Flat ₹125 OFF above ₹249 | Use code GET125,
Classic Restaurant - Treat,Restaurant coupons,ZOMBITE,60% OFF up to ₹120 | Use code ZOMBITE | above ₹159,
Classic Restaurant - Treat,Restaurant coupons,,Free Delivery above ₹1000 | Valid on all orders,
Classic Restaurant - Treat,Restaurant coupons,GET175,Flat ₹175 OFF above ₹499 | Use code GET175,
Chung Fa Chinese Restaurant - Since 1981,Brand Pack,,Extra 10% OFF on next 5 orders | Buy Chung Fa Chinese Restaurant - Since 1981 Brand Pack to unlock,
Chung Fa Chinese Restaurant - Since 1981,Restaurant coupons,,Buy 1 Get 1 Free | on select items | See items on offer,"Veg Spring Roll [14 Pieces] is a veg dish of ₹390'
 'Veg Chilli Dry is a veg dish of ₹340'
 'Chicken Fu Yung Omelette is a non-veg dish of ₹280'
 'Spicy Diced Chicken is a non-veg dish of ₹430"
Chung Fa Chinese Restaurant - Since 1981,Restaurant coupons,,Free Delivery above ₹1000 | Valid on all orders,
Chung Fa Chinese Restaurant - Since 1981,Brand Pack,,Extra 10% OFF on next 5 orders | Buy Chung Fa Chinese Restaurant - Since 1981 Brand Pack to unlock,
Chung Fa Chinese Restaurant - Since 1981,Restaurant coupons,,Buy 1 Get 1 Free | on select items | See items on offer,
Chung Fa Chinese Restaurant - Since 1981,Restaurant coupons,,Free Delivery above ₹1000 | Valid on all orders,
The Kalika Hut,Brand Pack,,Extra 10% OFF on next 3 orders | Buy The Kalika Hut Brand Pack to unlock,
The Kalika Hut,Restaurant coupons,ZOM150,Flat ₹150 OFF above ₹299 | Use code ZOM150,
The Kalika Hut,Restaurant coupons,TRYNEW,50% OFF up to ₹100 | Use code TRYNEW | above ₹159,
The Kalika Hut,Restaurant coupons,,Free Delivery above ₹1000 | Valid on all orders,
The Kalika Hut,Restaurant coupons,GET200,Flat ₹200 OFF above ₹999 | Use code GET200,
Rollarappaa,Brand Pack,N/A,Extra 10% OFF on next 3 orders | Buy Rollarappaa Brand Pack to unlock,N/A
Rollarappaa,Restaurant coupons,N/A,BUY 2 GET 1 FREE | on everything,N/A
Rollarappaa,Restaurant coupons,GETFLAT150,Flat ₹150 OFF above ₹399 | Use code GETFLAT150,N/A
Rollarappaa,Restaurant coupons,GETFLAT125,Flat ₹125 OFF above ₹299 | Use code GETFLAT125,N/A
Rollarappaa,Restaurant coupons,N/A,Free Delivery above ₹1000 | Valid on all orders,N/A
Rollarappaa,Restaurant coupons,ZOMBITE,60% OFF up to ₹120 | Use code ZOMBITE | above ₹159,N/A
